Date,Fuel Type,Price,Quantity Sold,Payment Mode,City,Revenue
06-03-2026,Diesel,97,50,Cash,Namakkal,4850
06-03-2026,LPG,980,9,Card,Coimbatore,8820
07-03-2026,Petrol,106,65,UPI,Salem,6890
07-03-2026,Diesel,98,48,Cash,Erode,4704
08-03-2026,LPG,990,11,Card,Namakkal,10890
08-03-2026,Petrol,107,72,UPI,Coimbatore,7704
09-03-2026,Diesel,99,52,Cash,Salem,5148
09-03-2026,LPG,995,10,Card,Erode,9950
10-03-2026,Petrol,108,68,UPI,Namakkal,7344
10-03-2026,Diesel,100,55,Cash,Coimbatore,5500
11-03-2026,LPG,1000,13,Card,Salem,13000
11-03-2026,Petrol,109,75,UPI,Erode,8175
12-03-2026,Diesel,101,58,Cash,Namakkal,5858
12-03-2026,LPG,1005,12,Card,Coimbatore,12060
13-03-2026,Petrol,110,80,UPI,Salem,8800
13-03-2026,Diesel,102,60,Cash,Erode,6120
14-03-2026,LPG,1010,14,Card,Namakkal,14140
14-03-2026,Petrol,111,78,UPI,Coimbatore,8658
15-03-2026,Diesel,103,62,Cash,Salem,6386
15-03-2026,LPG,1015,15,Card,Erode,15225
16-04-2026,Petrol,112,82,UPI,Namakkal,9184
16-04-2026,Diesel,104,64,Cash,Coimbatore,6656
17-04-2026,LPG,1020,13,Card,Salem,13260
17-04-2026,Petrol,113,85,UPI,Erode,9605
18-04-2026,Diesel,105,66,Cash,Namakkal,6930
18-04-2026,LPG,1025,14,Card,Coimbatore,14350
19-04-2026,Petrol,114,88,UPI,Salem,10032
19-04-2026,Diesel,106,68,Cash,Erode,7208
20-04-2026,LPG,1030,15,Card,Namakkal,15450
20-04-2026,Petrol,115,90,UPI,Coimbatore,10350
21-04-2026,Diesel,107,70,Cash,Salem,7490
21-04-2026,LPG,1035,16,Card,Erode,16560
22-04-2026,Petrol,116,92,UPI,Namakkal,10672
22-04-2026,Diesel,108,72,Cash,Coimbatore,7776
23-04-2026,LPG,1040,17,Card,Salem,17680
23-04-2026,Petrol,117,94,UPI,Erode,10998
24-04-2026,Diesel,109,74,Cash,Namakkal,8066
24-04-2026,LPG,1045,18,Card,Coimbatore,18810
25-04-2026,Petrol,118,96,UPI,Salem,11328
25-04-2026,Diesel,110,76,Cash,Erode,8360
26-04-2026,LPG,1050,19,Card,Namakkal,19950
26-04-2026,Petrol,119,98,UPI,Coimbatore,11662
27-04-2026,Diesel,111,78,Cash,Salem,8658
27-04-2026,LPG,1055,20,Card,Erode,21100
28-04-2026,Petrol,120,100,UPI,Namakkal,12000
28-04-2026,Diesel,112,80,Cash,Coimbatore,8960
29-04-2026,LPG,1060,21,Card,Salem,22260
29-04-2026,Petrol,121,102,UPI,Erode,12342
30-04-2026,Diesel,113,82,Cash,Namakkal,9266
30-04-2026,LPG,1065,22,Card,Coimbatore,23430
